creates_hidden_file,Ransomware appends_extension,antivm_queries_computername,network service communication,create service,Generate Crypto Key,Create_exe,Network tor,antivm_memory_available,Peid Packer,Persistance autorun,mov_count,transfer_count,arithmetic_count,call_count,compare_count,avg_betweenness_centrality,avg_closeness_centrality,avg_degree_centrality,avg_eigenvector_centrality,avg_pagerank,avg_katz_centrality,avg_clustering_coefficient,label
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
0,0,0,1,1,0,0,1,0,1,1,24,55,2,9,5,0.0634126984126984,0.331064574314574,0.569047619047619,0.2421462186643,0.207460317460317,0.444969593612064,0.276111111111111,1
1,1,1,0,0,1,1,1,0,1,1,42,180,7,52,16,0.059377331617177,0.259271427815593,0.454376399879602,0.24683758194668,0.214085453917073,0.413887417211915,0.0910101059080607,1
1,1,1,0,0,1,1,1,0,1,1,43,179,7,52,17,0.0605514933468727,0.2339638527023,0.439250283753545,0.266429726184954,0.226454809012305,0.419406051021896,0.0835085897525083,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,49,182,7,55,21,0.0670915846869529,0.208149182791318,0.332384434019903,0.181126724929848,0.151894038030085,0.338971212641854,0.134201002981647,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0713990194521802,0.251989269707305,0.435884152599359,0.258899317570066,0.208634965512955,0.413284424032795,0.0854987927520822,1
1,1,1,0,0,1,1,1,0,1,1,250,272,21,175,55,0.0642500944125609,0.223881533231343,0.40213272658189,0.26793154384826,0.208011341996873,0.406733621854968,0.088826447380551,1
1,1,1,0,0,1,1,1,0,1,1,46,183,7,54,20,0.0651427781811877,0.225792416087129,0.380258864640256,0.212185141803662,0.176871835745405,0.373499625078999,0.0970962628607937,1
1,1,1,0,0,1,1,1,0,1,1,49,183,7,58,21,0.0677308854479402,0.257040745208006,0.436481749879919,0.257603956052217,0.199135338345864,0.409288881770793,0.0992934709458832,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,49,211,7,65,18,0.0479001616733901,0.209532440548996,0.4805160265523,0.357438687271207,0.291484148748504,0.456986765115256,0.0944162865100309,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,48,172,7,54,21,0.0617279917559975,0.241700178422451,0.408188741486402,0.226205559635021,0.181059375191098,0.381811870286846,0.154593239822765,1
1,1,1,0,0,1,1,1,0,1,1,48,177,7,53,15,0.0739356684418267,0.248473696785192,0.422027718128976,0.244113682661578,0.19942843219159,0.402070697972851,0.100755892915158,1
1,1,1,0,0,1,1,1,0,1,1,43,179,7,52,17,0.0605514933468727,0.2339638527023,0.439250283753545,0.266429726184954,0.226454809012305,0.419406051021896,0.0835085897525083,1
1,1,1,0,0,1,1,1,0,1,1,46,183,7,54,20,0.0651427781811877,0.225792416087129,0.380258864640256,0.212185141803662,0.176871835745405,0.373499625078999,0.0970962628607937,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0644521784144301,0.240860295566967,0.413600123497148,0.254835174849413,0.198908328513591,0.404018815718061,0.0890884900917795,1
1,1,1,0,0,1,1,1,0,1,1,41,169,7,47,14,0.0780884789825488,0.263291744238946,0.452688560312858,0.257850419182331,0.214351218956482,0.421057213419734,0.0979597114630009,1
